ID	intervaly	song	teplota	vitr	vlhkost	tlak	dest	oblacnost
1K	20:00	6	17.4	16	50	1012.4	0	0
1K	20:15	4	17.4	16	50	1012.4	0	0
1K	20:30	0	16.4	13	57	1012.8	0	0
1K	20:45	0	16.4	13	57	1012.8	0	0
1K	21:00	0	16	10	58	1012.6	0	0
1K	21:15	0	16	10	58	1012.6	0	0
1K	21:30	0	15.6	11	59	1012.6	0	0
1K	21:45	0	15.6	11	59	1012.6	0	0
1K	22:00	0	15.2	6	62	1012.6	0	0
1K	22:15	0	15.2	6	62	1012.6	0	0
1K	22:30	0	14.4	10	64	1012.6	0	0
1K	22:45	0	14.4	10	64	1012.6	0	0
1K	23:00	0	14.1	6	63	1012.3	0	0
1K	23:15	0	14.1	6	63	1012.3	0	0
1K	23:30	0	13.7	16	64	1012.3	0	0
1K	23:45	0	13.7	16	64	1012.3	0	0
1K	0:00	0	13.2	1	67	1012.3	0	0
1K	0:15	0	12.8	11	68	1012.3	0	0
1K	0:30	0	12.8	11	68	1012.3	0	0
1K	0:45	0	12.3	8	71	1012.3	0	0
1K	1:00	0	12.3	8	71	1012.3	0	0
1K	1:15	0	11.9	16	73	1012.3	0	0
1K	1:30	0	11.9	16	73	1012.3	0	0
1K	1:45	0	11.5	13	75	1011	0	0
1K	2:00	0	11.5	13	75	1011	0	0
1K	2:15	0	11.2	6	77	1011	0	0
1K	2:30	0	11.2	6	77	1011	0	0
1K	2:45	0	10.7	14	79	1011	0	0
1K	3:00	0	10.7	14	79	1011	0	0
1K	3:15	0	10.3	13	81	1011	0	0
1K	3:30	0	10.3	13	81	1011	0	0
1K	3:45	0	9.8	10	83	1011	0	0
1K	4:00	1	9.8	10	83	1011	0	0
1K	4:15	3	9.4	5	85	1011	0	0
1K	4:30	7	9.4	5	85	1011	0	0
1K	4:45	7	9.3	14	86	1011	0	0
1K	5:00	11	9.3	14	86	1011	0	0
1K	5:15	7	9.1	6	87	1011	0	0
1K	5:30	7	9.1	6	87	1011	0	0
1K	5:45	2	8.8	5	87	1011	0	0
1K	6:00	0	8.8	5	87	1011	0	0
1K	6:15	1	8.8	5	87	1011	0	0
1K	6:30	0	8.8	5	87	1011	0	0
1K	6:45	0	8.8	5	87	1011	0	0
1K	7:00	0	8.8	5	87	1011	0	0
2K	20:15	0	14.9	1	34	1011.8	0	1
2K	20:30	2	14.9	1	34	1011.8	0	1
2K	20:45	0	14.4	4	35	1014	0	1
2K	21:00	0	14.4	4	35	1014	0	1
2K	21:15	0	13.9	3	38	1013	0	1
2K	21:30	0	13.9	3	38	1013	0	1
2K	21:45	0	13.6	3	40	1013.1	0	1
2K	22:00	0	13.6	3	40	1013.1	0	1
2K	22:15	0	13.4	0	42	1013.1	0	1
2K	22:30	0	13.4	0	42	1013.1	0	1
2K	22:45	0	13.2	5	44	1013.2	0	1
2K	23:00	0	13.2	5	44	1013.2	0	1
2K	23:15	0	13.3	8	43	1012.1	0	1
2K	23:30	0	13.3	8	43	1012.1	0	1
2K	23:45	0	13.3	10	42	1012.1	0	1
2K	0:00	0	13.3	10	42	1012.1	0	1
2K	0:15	0	13.2	0	44	1011.1	0	1
2K	0:30	0	12.9	9	45	1011.1	0	1
2K	0:45	0	12.9	9	45	1011.1	0	1
2K	1:00	0	12.9	14	45	1011.1	0	1
2K	1:15	0	12.9	14	45	1011.1	0	1
2K	1:30	0	12.7	1	46	1011.2	0	1
2K	1:45	0	12.7	1	46	1011.2	0	1
2K	2:00	0	12.9	11	46	1011.1	0	1
2K	2:15	0	12.9	11	46	1011.1	0	1
2K	2:30	0	12.5	17	51	1011.2	0	1
2K	2:45	0	12.5	17	51	1011.2	0	1
2K	3:00	0	12	17	58	1011.3	0	1
2K	3:15	0	12	17	58	1011.3	0	1
2K	3:30	0	11.4	8	70	1010.3	1	1
2K	3:45	0	11.4	8	70	1010.3	1	1
2K	4:00	0	11.3	14	74	1011.4	1	1
2K	4:15	0	11.3	14	74	1011.4	1	1
2K	4:30	0	11.1	12	74	1011.4	1	1
2K	4:45	3	11.1	12	74	1011.4	1	1
2K	5:00	1	11	9	77	1010.4	1	1
2K	5:15	0	11	9	77	1010.4	1	1
2K	5:30	6	11	10	79	1011.4	1	1
2K	5:45	3	11	10	79	1011.4	1	1
2K	6:00	0	11	10	79	1011.4	1	1
2K	6:15	0	11	10	79	1011.4	1	1
2K	6:30	0	11	10	79	1011.4	1	1
3K	21:00	3	19.6	0	67	1013.5	0	0
3K	21:15	0	19.6	0	67	1013.5	0	0
3K	21:30	0	19	0	69	1013.5	0	0
3K	21:45	0	19	0	69	1013.5	0	0
3K	22:00	0	17.9	0	74	1013.5	0	0
3K	22:15	0	17.9	0	74	1013.5	0	0
3K	22:30	0	16.9	0	78	1013.3	0	0
3K	22:45	0	16.9	0	78	1013.3	0	0
3K	23:00	0	16.1	0	81	1013.4	0	0
3K	23:15	0	16.1	0	81	1013.4	0	0
3K	23:30	0	15.9	0	84	1013.2	0	0
3K	23:45	0	15.9	0	84	1013.2	0	0
3K	0:00	0	15.8	0	84	1013.2	0	0
3K	0:15	0	15.8	0	84	1013.2	0	0
3K	0:30	0	15.8	0	84	1013.2	0	0
3K	0:45	0	15.7	0	85	1012.9	0	0
3K	1:00	0	15.7	0	85	1012.9	0	0
3K	1:15	0	15.4	0	85	1012.5	0	0
3K	1:30	0	15.4	0	85	1012.5	0	0
3K	1:45	0	15.4	0	85	1012.5	0	0
3K	2:00	0	15.4	0	85	1012.5	0	0
3K	2:15	0	14.9	0	86	1012.3	0	0
3K	2:30	0	14.9	0	86	1012.3	0	0
3K	2:45	0	14.7	1	87	1012.1	0	0
3K	3:00	0	14.7	1	87	1012.1	0	0
3K	3:15	0	14.8	0	87	1011.8	0	0
3K	3:30	0	14.8	0	87	1011.8	0	0
3K	3:45	0	14.7	0	87	1011.7	0	0
3K	4:00	0	14.7	0	87	1011.7	0	0
3K	4:15	0	14.2	0	88	1011.7	0	0
3K	4:30	5	14.2	0	88	1011.7	0	0
3K	4:45	5	13.6	0	89	1011.7	0	0
3K	5:00	3	13.6	0	89	1011.7	0	0
3K	5:15	1	13.6	0	89	1011.7	0	0
3K	5:30	1	13.6	0	89	1011.7	0	0
3K	5:45	0	13.6	0	89	1011.7	0	0
3K	6:00	0	13.6	0	89	1011.7	0	0
4K	21:00	5	11.1	0	86	1019.4	0.2	1
4K	21:15	3	11.1	0	86	1019.4	0.2	1
4K	21:30	0	11.1	0	89	1019.6	0.2	1
4K	21:45	0	11.1	0	89	1019.6	0.2	1
4K	22:00	0	11.4	0	87	1019.6	0.2	1
4K	22:15	0	11.4	0	87	1019.6	0.2	1
4K	22:30	0	11.1	0	85	1019.8	0.2	1
4K	22:45	0	11.1	0	85	1019.8	0.2	1
4K	23:00	0	10.7	0	86	1019.8	0.2	1
4K	23:15	0	10.7	0	86	1019.8	0.2	1
4K	23:30	0	10.2	0	88	1019.9	0.2	1
4K	23:45	0	10.2	0	88	1019.9	0.2	1
4K	0:00	0	9.9	0	88	1020	0.2	1
4K	0:15	0	9.2	0	89	1020.2	0	1
4K	0:30	0	9.2	0	89	1020.2	0	1
4K	0:45	0	8.7	0	92	1020	0	1
4K	1:00	0	8.7	0	92	1020	0	1
4K	1:15	0	8.3	0	93	1020	0	1
4K	1:30	0	8.3	0	93	1020	0	1
4K	1:45	0	8.3	0	93	1020	0	1
4K	2:00	0	8.3	0	93	1020	0	1
4K	2:15	0	7.8	0	93	1019.9	0	1
4K	2:30	0	7.8	0	93	1019.9	0	1
4K	2:45	0	7.6	0	94	1019.7	0	1
4K	3:00	0	7.6	0	94	1019.7	0	1
4K	3:15	0	7.7	0	95	1019.7	0	1
4K	3:30	0	7.7	0	95	1019.7	0	1
4K	3:45	3	7.8	0	95	1019.6	0	1
4K	4:00	8	7.8	0	95	1019.6	0	1
4K	4:15	7	8.2	0	96	1019.5	0	1
4K	4:30	4	8.2	0	96	1019.5	0	1
4K	4:45	6	8.4	0	96	1019.6	0	1
4K	5:00	6	8.4	0	96	1019.6	0	1
4K	5:15	5	8.4	0	96	1019.6	0	1
4K	5:30	6	8.4	0	96	1019.6	0	1
4K	5:45	7	8.4	0	96	1019.6	0	1
5K	21:00	4	11.1	0	86	1019.4	0.2	1
5K	21:15	1	11.1	0	86	1019.4	0.2	1
5K	21:30	0	11.1	0	89	1019.6	0.2	1
5K	21:45	0	11.1	0	89	1019.6	0.2	1
5K	22:00	0	11.4	0	87	1019.6	0.2	1
5K	22:15	0	11.4	0	87	1019.6	0.2	1
5K	22:30	0	11.1	0	85	1019.8	0.2	1
5K	22:45	0	11.1	0	85	1019.8	0.2	1
5K	23:00	0	10.7	0	86	1019.8	0.2	1
5K	23:15	0	10.7	0	86	1019.8	0.2	1
5K	23:30	0	10.2	0	88	1019.9	0.2	1
5K	23:45	0	10.2	0	88	1019.9	0.2	1
5K	0:00	0	9.9	0	88	1020	0.2	1
5K	0:15	0	9.2	0	89	1020.2	0	1
5K	0:30	0	9.2	0	89	1020.2	0	1
5K	0:45	0	8.7	0	92	1020	0	1
5K	1:00	0	8.7	0	92	1020	0	1
5K	1:15	0	8.3	0	93	1020	0	1
5K	1:30	0	8.3	0	93	1020	0	1
5K	1:45	0	8.3	0	93	1020	0	1
5K	2:00	0	8.3	0	93	1020	0	1
5K	2:15	0	7.8	0	93	1019.9	0	1
5K	2:30	0	7.8	0	93	1019.9	0	1
5K	2:45	0	7.6	0	94	1019.7	0	1
5K	3:00	0	7.6	0	94	1019.7	0	1
5K	3:15	0	7.7	0	95	1019.7	0	1
5K	3:30	0	7.7	0	95	1019.7	0	1
5K	3:45	0	7.8	0	95	1019.6	0	1
5K	4:00	3	7.8	0	95	1019.6	0	1
5K	4:15	6	8.2	0	96	1019.5	0	1
5K	4:30	2	8.2	0	96	1019.5	0	1
5K	4:45	2	8.4	0	96	1019.6	0	1
5K	5:00	3	8.4	0	96	1019.6	0	1
